id,date,price,cylinders,strokeratio,sqcm_basearea,condition,grade,yr_estd
9212900260,20140527,468000,2,1,1160,4,7,1942
114101516,20140528,310000,3,1,1430,4,7,1927
6054650070,20141007,400000,3,1.75,1370,4,7,1977
1175000570,20150312,530000,5,2,1810,3,7,1900
9297300055,20150124,650000,4,3,2950,3,9,1979
1875500060,20140731,395000,3,2,1890,3,7,1994
6865200140,20140529,485000,4,1,1600,4,7,1916
16000397,20141205,189000,2,1,1200,4,7,1921
7983200060,20150424,230000,3,1,1250,4,7,1969
6300500875,20140514,385000,4,1.75,1620,4,7,1947
2524049179,20140826,2000000,3,2.75,3050,3,9,1968
7137970340,20140703,285000,5,2.5,2270,3,8,1995
8091400200,20140516,252700,2,1.5,1070,3,7,1985
3814700200,20141120,329000,3,2.25,2450,4,8,1985
1202000200,20141103,233000,3,2,1710,5,6,1941
1794500383,20140626,937000,3,1.75,2450,3,8,1915
3303700376,20141201,667000,3,1,1400,5,8,1909
5101402488,20140624,438000,3,1.75,1520,3,7,1948
1873100390,20150302,719000,4,2.5,2570,3,8,2005
8562750320,20141110,580500,3,2.5,2320,3,8,2003
2426039314,20141201,280000,2,1.5,1190,3,7,2005
461000390,20140624,687500,4,1.75,2330,4,7,1929
7589200193,20141110,535000,3,1,1090,4,8,1929
7955080270,20141203,322500,4,2.75,2060,3,7,1981
9547205180,20140613,696000,3,2.5,2300,3,8,1930
9435300030,20140528,550000,4,1,1660,1,5,1933
2768000400,20141230,640000,4,2,2360,4,8,1904
7895500070,20150213,240000,4,1,1220,2,7,1969
2078500320,20140620,605000,4,2.5,2620,3,8,1996
5547700270,20140715,625000,4,2.5,2570,3,9,2000
7766200013,20140811,775000,4,2.25,4220,3,8,1984
7203220400,20140707,861990,5,2.75,3595,3,9,2014
9270200160,20141028,685000,3,1,1570,3,7,1922
1432701230,20140729,309000,3,1,1280,4,6,1959
8035350320,20140718,488000,3,2.5,3160,3,8,2003
8945200830,20150325,210490,3,1,990,3,6,1966
4178300310,20140716,785000,4,2.5,2290,4,9,1981
9215400105,20150428,450000,3,1.75,1250,4,7,1953
822039084,20150311,1350000,3,2.5,2753,5,9,1953
5245600105,20140916,228000,3,1,1190,3,7,1955
7231300125,20150217,345000,5,2.5,3150,4,8,1966
7518505990,20141231,600000,3,1.75,1410,4,7,1950
3626039271,20150205,585000,2,1.75,1980,3,7,1981
4217401195,20150303,920000,5,2.25,2730,3,8,1927
9822700295,20140512,885000,4,2.5,2830,3,9,1995
9478500640,20140819,292500,4,2.5,2250,3,7,2008
2799800710,20150407,301000,3,2.5,2420,3,8,2003
7922800400,20140827,951000,5,3.25,3250,4,8,1968
8079040320,20150223,430000,4,3,1850,3,8,1991
1516000055,20141210,650000,3,2.25,2150,4,8,1959
9558200045,20140828,289000,3,1.75,1260,3,7,1954
5072410070,20141021,505000,3,1.75,2519,5,8,1973
9528102996,20141207,549000,3,1.75,1540,3,8,2014
1189001180,20140603,425000,3,2.25,1660,3,7,1979
3253500160,20141120,317625,3,2.75,2770,5,7,1925
3394100030,20140909,975000,4,2.5,2720,3,10,1989
3717000160,20141009,287000,4,2.5,2240,3,7,2005
1274500060,20140825,204000,3,1,1000,4,7,1968
1802000060,20140612,1325000,5,2.25,3200,3,8,1965
1525059190,20140912,1040000,5,3.25,4770,4,11,1973
1049000060,20150105,325000,3,2,1260,4,7,1972
8820901275,20140610,571000,4,2,2750,5,7,1916
5416510140,20140710,360000,4,2.5,2380,3,8,2005
3444100400,20150316,349000,3,1.75,1790,5,7,1965
3276920270,20141105,832500,4,4,3430,4,10,1986
4036801170,20141013,380000,4,1.75,1760,3,7,1956
2391600320,20150420,480000,3,1,1040,3,7,1941
6300000287,20140609,410000,3,1,1410,4,7,1956
1531000030,20150323,720000,4,2.5,3450,3,10,2002
5104520400,20141202,390000,3,2.5,2350,3,8,2003
7437100340,20141222,360000,4,2.5,1900,3,7,1992
9418400240,20141028,355000,2,1,2020,3,7,1948
1523059105,20150128,356000,3,1.5,1680,3,8,1964
1133000671,20140602,315000,3,1,960,3,6,1952
4232902595,20141114,940000,3,1.5,2140,3,9,1925
2599001200,20141103,305000,5,2.25,2660,5,7,1961
3342103156,20140618,461000,3,3.25,2770,3,9,2006
1332700270,20140519,215000,2,2.25,1610,4,7,1979
3869900162,20140904,335000,2,1.75,1030,3,7,2006
2791500270,20140522,243500,4,2.5,1980,3,7,1988
5036300431,20150311,1099880,5,2.75,3520,4,10,2001
4168000060,20150226,153000,3,1,1200,3,7,1962
6021501535,20140725,430000,3,1.5,1580,3,8,1939
6021501535,20141223,700000,3,1.5,1580,3,8,1939
1483300570,20140908,905000,4,2.5,3300,3,7,1946
3422049190,20150330,247500,3,1.75,1960,3,7,1967
1099611230,20140912,199000,4,1.5,1160,4,7,1975
722079104,20140711,314000,3,1.75,1810,5,7,1980
7338200240,20140516,437500,3,2.5,2320,3,9,1992
1952200240,20140611,850830,3,2.5,2070,5,9,1910
5200100125,20141027,555000,3,2,1980,4,7,1929
7214720075,20141212,699950,3,2.25,2190,4,8,1983
